Wall time,Step,Value
1721052636.4677136,1,2.4344944953918457
1721052939.9153593,5,2.377407550811768
1721053042.8586462,6,2.359917402267456
1721053121.9229205,7,2.2914507389068604
1721053619.8733802,13,2.2648513317108154
1721054179.8956726,20,2.293853759765625
1721054282.823166,21,2.3184924125671387
1721054359.6666894,22,2.240440845489502
1721055468.633095,36,2.1577513217926025
1721055881.371265,41,1.9176117181777956
1721055958.2870443,42,1.790633201599121
1721057224.4264688,60,2.0613512992858887
1721057304.6098323,61,1.9708486795425413
1721058251.1181924,77,2.290992259979248
1721058304.9455843,78,2.302131175994873
1721058358.390314,79,2.249763011932373
1721059835.4339075,100,2.342954635620117
1721059932.35863,101,2.341826200485229
1721060003.482155,102,2.388921022415161
1721060870.9739077,113,2.3000919818878174
1721060946.3245788,114,2.2608838081359863
1721061023.8550413,115,2.211734771728516
1721061129.7624476,116,2.0550832748413086
1721061612.621126,122,2.007908344268799
1721061687.3713677,123,1.8809630870819087
1721062339.2053154,132,1.9377460479736328
1721064377.4192,164,1.6466519832611084
1721064439.7003026,165,1.6793229579925537
1721064763.984419,170,1.9537813663482664
1721065624.8947144,183,1.0624080896377563
1721066803.869255,201,2.4487171173095703
1721066858.9919848,202,2.407334089279175
1721067103.6301503,206,2.336493968963623
1721067260.4957848,209,2.2284960746765137
1721067314.7829094,210,2.157090663909912
1721068589.2714198,232,2.417511463165283
1721068640.4159458,233,2.3804616928100586
1721068692.4834366,234,2.3316001892089844
1721068745.8499012,235,2.205296754837036
1721068822.4571793,236,2.177748680114746
1721069768.7894816,253,2.3467788696289062
1721069820.27217,254,2.2867531776428223
1721070503.2217176,266,2.2051498889923096
1721072149.2995555,296,1.9563219547271729
1721072297.5390885,299,1.5591729879379272
1721072839.6131485,309,1.5306483507156372
1721072889.2087991,310,1.2917253971099854
1721072961.4524095,311,1.1655337810516355
1721074478.469074,340,0.6973952054977417
1721074550.50853,341,0.2393035888671875
1721074646.8348775,343,0.0839960575103759
1721074697.593608,344,0.040419228374958
1721075256.6904683,355,0.0770374983549118
1721075325.339512,356,0.0169009994715452
1721075712.2041924,364,0.0183249562978744
1721075757.2298598,365,0.0132062211632728
1721075825.4082797,366,0.0138494940474629
1721075870.246696,367,0.0197937283664941
1721075915.7021356,368,0.0227539204061031
1721076501.8584204,380,0.0703686326742172
1721076856.6343951,387,0.0252506993710994
1721077140.7165809,393,0.0222712829709053
1721077182.0083938,394,0.0161691140383481
1721077406.432125,399,0.0170830879360437
1721077445.953248,400,0.0139092933386564
