Wall time,Step,Value
1721052593.8887148,1,2.4722487926483154
1721052652.457748,2,2.470618963241577
1721052726.3625946,3,2.4532840251922607
1721052806.153794,4,2.427048921585083
1721052886.9809296,5,2.4183120727539062
1721052986.8383844,6,2.452852249145508
1721053063.8000276,7,2.4421513080596924
1721053143.397057,8,2.438260316848755
1721053223.2887516,9,2.402146816253662
1721053301.0755994,10,2.4167580604553223
1721053400.4769187,11,2.440756797790528
1721053479.960359,12,2.435131549835205
1721053560.3793073,13,2.431072950363159
1721053639.566974,14,2.4220542907714844
1721053717.3933997,15,2.3977291584014893
1721053814.8343773,16,2.389824628829956
1721053892.9088988,17,2.3679494857788086
1721053970.3493817,18,2.361496686935425
1721054048.236651,19,2.363347291946411
1721054126.0084128,20,2.3576581478118896
1721054219.827618,21,2.381755113601685
1721054296.6338408,22,2.3955037593841557
1721054374.4895525,23,2.3989853858947754
1721054449.7043557,24,2.375157833099365
1721054523.4307494,25,2.376859664916992
1721054616.743874,26,2.328587293624878
1721054691.2375567,27,2.3489277362823486
1721054767.249784,28,2.38806414604187
1721054841.9843545,29,2.345045566558838
1721054917.5675976,30,2.309456825256348
1721055019.5325603,31,2.340780258178711
1721055097.142544,32,2.372620820999145
1721055174.3505316,33,2.3384053707122803
1721055249.2493622,34,2.2371842861175537
1721055323.8072653,35,2.3333511352539062
1721055414.986431,36,2.306779384613037
1721055486.7356498,37,2.3319382667541504
1721055564.7681038,38,2.327704429626465
1721055645.008628,39,2.2861828804016118
1721055727.423478,40,2.3021700382232666
1721055828.4390264,41,2.1785881519317627
1721055906.3545756,42,2.2009682655334477
1721055980.7564986,43,2.137241840362549
1721056055.1194112,44,2.1493046283721924
1721056129.439644,45,2.108534336090088
1721056220.089057,46,2.1635079383850098
1721056291.25992,47,2.127551794052124
1721056363.162711,48,2.0561070442199707
1721056435.825956,49,2.073917865753174
1721056506.8500855,50,2.066624164581299
1721056598.2242815,51,2.1084089279174805
1721056673.3285108,52,2.066936016082764
1721056745.4655523,53,2.0531911849975586
1721056809.6969132,54,2.034494400024414
1721056870.522603,55,1.967865228652954
1721056952.7341108,56,2.078827381134033
1721057012.5345178,57,2.014421939849853
1721057075.101488,58,1.9472029209136963
1721057137.1755898,59,1.95951247215271
1721057194.858155,60,1.9213809967041016
1721057272.2432857,61,1.8246824741363523
1721057327.5563407,62,1.9733518362045288
1721057383.8750982,63,1.86946702003479
1721057437.8339005,64,1.7401443719863892
1721057492.4375925,65,1.7069272994995115
1721057567.6304955,66,1.745910406112671
1721057621.6946857,67,1.746361494064331
1721057677.0000904,68,1.656306266784668
1721057730.369101,69,1.5683114528656006
1721057783.940231,70,1.629303216934204
1721057859.576339,71,1.6185157299041748
1721057913.5068138,72,1.5877554416656494
1721057967.5735347,73,1.6354455947875977
1721058022.281701,74,1.84175968170166
1721058077.924247,75,1.747257947921753
1721058150.26821,76,1.711809754371643
1721058202.65536,77,1.6861194372177124
1721058256.936234,78,1.504687786102295
1721058309.7936113,79,1.6484947204589844
1721058361.7795544,80,1.5186758041381836
1721058435.081083,81,1.467566967010498
1721058486.697633,82,1.5674604177474976
1721058540.3915057,83,1.4905173778533936
1721058593.0395348,84,1.5704983472824097
1721058647.1089542,85,1.6199032068252563
1721058723.568176,86,1.5756754875183103
1721058781.2763832,87,1.5838924646377563
1721058848.082924,88,1.6840540170669556
1721058917.4843168,89,1.6353040933609009
1721058989.521055,90,1.517143487930298
1721059080.2775354,91,1.54652738571167
1721059148.5179846,92,1.4891390800476074
1721059219.1838157,93,1.4663994312286377
1721059288.7593222,94,1.4896647930145264
1721059359.7033842,95,1.4250190258026123
1721059455.3641095,96,1.436441421508789
1721059525.4286425,97,1.1485743522644043
1721059592.7586536,98,1.150139570236206
1721059661.8544574,99,1.3858188390731812
1721059732.0427282,100,1.1857144832611084
1721059823.8483927,101,1.4538041353225708
1721059892.4154332,102,1.4882051944732666
1721059961.8639896,103,1.7649500370025637
1721060030.6930027,104,1.7828357219696045
1721060104.0171516,105,1.692451238632202
1721060196.8606195,106,1.6545079946517944
1721060263.1320362,107,1.559051275253296
1721060331.6527176,108,1.457145094871521
1721060400.7461393,109,1.655259370803833
1721060470.552982,110,1.67382550239563
1721060569.5439494,111,1.5893163681030271
1721060643.09404,112,1.5155799388885498
1721060713.149277,113,1.4136711359024048
1721060788.8336668,114,1.5092244148254397
1721060867.2377474,115,1.5294593572616575
1721060969.5466578,116,1.460242509841919
1721061047.4853954,117,1.4534728527069092
1721061120.589823,118,1.459848165512085
1721061197.332595,119,1.4628677368164062
1721061273.81648,120,1.4292271137237549
1721061373.372995,121,1.448941946029663
1721061449.8732238,122,1.2853858470916748
1721061530.1465008,123,1.3329598903656006
1721061609.1637154,124,1.3373701572418213
1721061681.7455258,125,1.2916749715805054
1721061776.765184,126,1.409990906715393
1721061849.9343398,127,1.362069606781006
1721061921.3398516,128,1.4036991596221924
1721061994.3286364,129,1.360994815826416
1721062062.7138364,130,1.247009515762329
1721062146.8506858,131,1.2790719270706177
1721062207.640391,132,1.2273982763290403
1721062266.9886768,133,1.160783290863037
1721062327.5319154,134,1.2385908365249634
1721062387.3912191,135,1.2159782648086548
1721062469.5332627,136,1.2174274921417236
1721062529.6472926,137,1.0543583631515503
1721062589.0366802,138,1.206481695175171
1721062648.9600308,139,1.0392006635665894
1721062708.6554458,140,1.2625868320465088
1721062789.3075294,141,1.185413837432861
1721062848.0323176,142,1.3088942766189575
1721062909.6724036,143,1.1739790439605713
1721062967.816566,144,1.2105004787445068
1721063026.5315044,145,1.0100206136703491
1721063108.7083597,146,1.2117077112197876
1721063168.7716606,147,1.428188443183899
1721063225.9315152,148,1.1636295318603516
1721063282.844606,149,1.2562263011932373
1721063340.481864,150,1.2046301364898682
1721063418.5920527,151,1.1905574798583984
1721063475.6693666,152,1.1861799955368042
1721063532.0185184,153,1.2381341457366943
1721063588.729987,154,1.1692631244659424
1721063645.29659,155,1.0533289909362793
1721063724.7284224,156,1.0842578411102295
1721063781.3682408,157,0.97841215133667
1721063837.492744,158,0.9982461929321288
1721063896.4649105,159,0.8741686940193176
1721063953.083263,160,0.8269513845443726
1721064032.4929242,161,0.9039310216903688
1721064092.1067498,162,0.8351027369499207
1721064149.8236103,163,0.996776282787323
1721064211.7934947,164,0.8725572824478149
1721064273.3327017,165,0.9548651576042176
1721064357.1325932,166,0.7050596475601196
1721064421.8402102,167,0.885598361492157
1721064476.802749,168,0.9140871167182922
1721064535.9373877,169,0.9162864685058594
1721064595.2156413,170,0.9176327586174012
1721064676.9035022,171,0.8339678645133972
1721064736.2663674,172,1.131125569343567
1721064792.255457,173,1.1859586238861084
1721064852.1919024,174,1.0177842378616333
1721064911.4687686,175,0.9731922149658204
1721064990.9287045,176,0.7473691701889038
1721065052.2876573,177,0.7169946432113647
1721065111.2383924,178,0.873935341835022
1721065171.1971412,179,0.896051287651062
1721065231.6098957,180,0.9940404891967772
1721065312.587849,181,1.019227147102356
1721065372.07736,182,1.1506130695343018
1721065431.439779,183,1.0734974145889282
1721065491.3151708,184,0.9994837641716005
1721065550.347737,185,1.0019772052764893
1721065631.6174002,186,0.9973646998405457
1721065690.010047,187,1.0124330520629885
1721065750.372478,188,1.18114972114563
1721065805.99552,189,1.2925256490707395
1721065864.3997736,190,1.3164427280426023
1721065945.2202733,191,0.8635926246643066
1721066007.9918246,192,0.7453405261039734
1721066066.9757712,193,0.7328272461891174
1721066127.9315991,194,0.5820664167404175
1721066187.0021005,195,0.4850899577140808
1721066266.3636334,196,0.3980535268783569
1721066323.909744,197,0.4208201467990875
1721066383.220641,198,0.3896637856960296
1721066440.0408697,199,0.4512313902378082
1721066497.6288917,200,0.6084778904914856
1721066587.0378358,201,2.4697985649108887
1721066644.262923,202,2.4729840755462646
1721066702.5597403,203,2.4426889419555664
1721066758.1652408,204,2.407727003097534
1721066814.3414574,205,2.362152099609375
1721066894.5268958,206,2.43972110748291
1721066950.0036173,207,2.424985647201538
1721067007.5721943,208,2.4274184703826904
1721067060.788444,209,2.444822311401367
1721067115.5374458,210,2.431449174880981
1721067193.859305,211,2.4642605781555176
1721067246.38574,212,2.4600205421447754
1721067301.019277,213,2.4521613121032715
1721067352.6338823,214,2.455075263977051
1721067406.2292368,215,2.4225876331329346
1721067481.9935849,216,2.448324680328369
1721067533.675711,217,2.4352774620056152
1721067590.0126772,218,2.41200852394104
1721067644.543448,219,2.407163143157959
1721067697.5853567,220,2.3659005165100098
1721067772.806109,221,2.443861722946167
1721067825.4525845,222,2.4379866123199463
1721067878.0538466,223,2.44157338142395
1721067930.2941089,224,2.440124988555908
1721067983.5378704,225,2.416295528411865
1721068059.302857,226,2.4189352989196777
1721068111.1119845,227,2.415304660797119
1721068162.6023135,228,2.387054681777954
1721068213.7432146,229,2.396570205688477
1721068265.9742017,230,2.3649284839630127
1721068340.693776,231,2.4436287879943848
1721068392.3893938,232,2.4161479473114014
1721068444.4024212,233,2.4096784591674805
1721068494.9415174,234,2.4216082096099854
1721068548.649804,235,2.405451536178589
1721068624.237955,236,2.4097132682800293
1721068675.0588002,237,2.391784906387329
1721068726.7805195,238,2.3767459392547607
1721068778.5326877,239,2.3558778762817383
1721068829.4309895,240,2.2775967121124268
1721068902.6420147,241,2.387453556060791
1721068953.9549174,242,2.375023365020752
1721069005.9239988,243,2.3450374603271484
1721069055.3932817,244,2.3497393131256104
1721069106.468451,245,2.310978412628174
1721069181.2226017,246,2.321866750717163
1721069231.6769722,247,2.301072120666504
1721069283.714337,248,2.333230495452881
1721069334.4184582,249,2.3295657634735107
1721069387.4386628,250,2.3580939769744877
1721069462.3911035,251,2.387594699859619
1721069513.1841462,252,2.3724465370178223
1721069564.7820349,253,2.347730159759521
1721069615.0488913,254,2.352256298065185
1721069665.0076528,255,2.3340981006622314
1721069738.5263357,256,2.366362810134888
1721069789.394573,257,2.363485336303711
1721069842.0875385,258,2.3419177532196045
1721069892.399713,259,2.3323240280151367
1721069943.1366415,260,2.2947113513946533
1721070018.234255,261,2.3056540489196777
1721070068.46813,262,2.189326524734497
1721070120.2868805,263,2.1783995628356934
1721070171.100381,264,2.2045109272003174
1721070222.2841475,265,2.3185620307922363
1721070297.2077131,266,2.330134868621826
1721070348.0903254,267,2.2943873405456543
1721070398.7110538,268,2.2800893783569336
1721070450.2744324,269,2.2472195625305176
1721070500.6011703,270,2.198415994644165
1721070575.1025732,271,2.2326860427856445
1721070625.242906,272,2.2309718132019043
1721070676.587553,273,2.15346097946167
1721070727.1804385,274,2.2881460189819336
1721070779.454501,275,2.265096426010132
1721070853.7157855,276,2.2460358142852783
1721070903.1529367,277,2.135878562927246
1721070952.5602846,278,2.245229959487915
1721071002.832473,279,2.1333041191101074
1721071055.1279814,280,2.154109239578247
1721071128.6904116,281,2.1572537422180176
1721071178.6935496,282,2.0727500915527344
1721071229.755366,283,1.9804229736328125
1721071279.8236828,284,1.8763023614883425
1721071331.2270472,285,1.731196403503418
1721071406.430117,286,1.8271992206573489
1721071459.147103,287,1.571759819984436
1721071509.05262,288,1.4251770973205566
1721071559.500066,289,1.489672303199768
1721071611.339923,290,1.403160810470581
1721071686.6717446,291,1.4815387725830078
1721071738.2754197,292,1.6285676956176758
1721071789.4874828,293,1.6581051349639893
1721071842.4847922,294,1.6048650741577148
1721071893.0313811,295,1.526200532913208
1721071968.1508596,296,1.5184544324874878
1721072017.7837653,297,1.607217788696289
1721072067.8743408,298,1.7130508422851562
1721072118.5727274,299,1.750954270362854
1721072169.2451198,300,1.646654486656189
1721072242.0897334,301,1.59221088886261
1721072291.2802312,302,1.6732797622680664
1721072341.4626842,303,1.4041372537612915
1721072390.2420487,304,1.293900489807129
1721072439.2108028,305,1.3263251781463623
1721072511.3829348,306,1.8527679443359373
1721072559.986719,307,1.7826980352401731
1721072608.631476,308,1.704554319381714
1721072658.8575463,309,1.7637602090835571
1721072708.338982,310,1.9774830341339111
1721072781.4646597,311,2.053182601928711
1721072830.2836149,312,1.9687602519989011
1721072879.812995,313,1.799945592880249
1721072927.0674655,314,1.933404326438904
1721072976.369529,315,1.8977556228637693
1721073049.272526,316,1.879244089126587
1721073096.334241,317,1.9564263820648196
1721073144.805501,318,1.8227903842926023
1721073192.2232082,319,1.763777732849121
1721073240.6298184,320,1.5956716537475586
1721073312.8900025,321,1.5096795558929443
1721073361.2801268,322,1.343513250350952
1721073410.736707,323,1.3797197341918943
1721073458.91172,324,1.10071861743927
1721073507.8838053,325,1.2793519496917725
1721073582.3021262,326,1.608634352684021
1721073631.4594672,327,1.3687728643417358
1721073681.8073418,328,1.2117153406143188
1721073729.6626596,329,1.147273302078247
1721073777.7108057,330,1.186125874519348
1721073852.112981,331,1.3841012716293335
1721073899.901162,332,1.2311066389083862
1721073948.341776,333,1.382711410522461
1721073996.4689238,334,1.2255752086639404
1721074044.527156,335,1.4022337198257446
1721074117.2855566,336,1.4443647861480713
1721074164.9043524,337,1.405115246772766
1721074213.3341749,338,1.3459138870239258
1721074259.8004954,339,1.2351090908050537
1721074307.510228,340,1.2917903661727903
1721074379.7724292,341,1.734455704689026
1721074427.2453086,342,1.7259724140167236
1721074475.7902515,343,1.7440427541732788
1721074522.9505303,344,1.692861795425415
1721074570.400739,345,1.592471718788147
1721074642.9489446,346,1.150342345237732
1721074691.3573782,347,1.0826572179794312
1721074741.5012355,348,1.0329878330230713
1721074790.259231,349,1.0443274974822998
1721074843.0487015,350,1.0327523946762085
1721074917.790223,351,1.6166942119598389
1721074966.6876938,352,1.509570598602295
1721075015.1833315,353,1.3081505298614502
1721075063.0063388,354,1.0842949151992798
1721075110.855986,355,1.2503941059112549
1721075183.2346764,356,1.6753785610198977
1721075231.6159358,357,1.7138522863388062
1721075280.349311,358,1.6481592655181885
1721075327.8657162,359,1.676346778869629
1721075376.774766,360,1.5428882837295532
1721075449.9244356,361,1.4741036891937256
1721075498.021135,362,1.3395113945007324
1721075545.4106112,363,1.42547869682312
1721075592.2370574,364,1.2847940921783447
1721075639.0272892,365,1.025766372680664
1721075709.054716,366,1.045507311820984
1721075754.596912,367,0.9664112329483032
1721075800.0014348,368,0.9917009472846984
1721075843.396863,369,0.8457931280136108
1721075888.4972622,370,0.7373331189155579
1721075958.8925078,371,1.731051683425903
1721076004.947497,372,1.750567078590393
1721076050.330661,373,1.8153470754623413
1721076094.9780324,374,1.838641881942749
1721076140.943387,375,1.6956493854522705
1721076212.6367571,376,1.3009676933288574
1721076258.1338017,377,1.4886449575424194
1721076302.6984448,378,1.3903448581695557
1721076345.9064944,379,0.945736289024353
1721076391.0040758,380,0.8176386952400208
1721076461.692037,381,1.2421795129776
1721076506.91914,382,1.025029540061951
1721076551.5968895,383,1.0863409042358398
1721076594.7845683,384,0.8138435482978821
1721076639.5988634,385,0.9707064628601074
1721076708.4373095,386,0.9498220682144164
1721076753.1927772,387,0.8455451726913452
1721076797.7395132,388,0.9729355573654176
1721076841.4179132,389,0.858547568321228
1721076885.649743,390,0.8444803357124329
1721076954.8640745,391,0.772719144821167
1721076998.6103635,392,0.5873020887374878
1721077042.2760675,393,0.7454797029495239
1721077083.5794046,394,0.5190998315811157
1721077127.7376363,395,0.2950536012649536
1721077193.9121218,396,0.4165833592414856
1721077235.6354609,397,0.3509969413280487
1721077277.823997,398,0.8802968263626099
1721077318.818566,399,0.6836341619491577
1721077359.5498476,400,0.6308367848396301
