Wall time,Step,Value
1721052527.466859,40,0.0
1721052553.9928246,60,0.0
1721052565.9546602,70,0.0
1721052592.0510314,90,0.0
1721052616.1325018,110,6.0
1721052629.7744186,120,4.0
1721052644.1652887,130,8.0
1721052657.3133442,140,10.0
1721052671.4078674,150,11.0
1721052685.0486822,160,3.0
1721052700.1192164,170,0.0
1721052713.961703,180,0.0
1721052728.9769688,190,0.0
1721052743.754037,200,0.0
1721052760.211151,210,0.0
1721052790.0339153,230,0.0
1721052821.6719408,250,0.0
1721052837.4238548,260,0.0
1721052915.027954,310,0.0
1721052930.140919,320,0.0
1721052946.9094863,330,0.0
1721052962.8415704,340,0.0
1721052978.2508616,350,0.0
1721053009.93077,370,0.0
1721053054.4215236,400,0.0
1721053069.767718,410,0.0
1721053097.6789954,430,8.0
1721053112.5308652,440,12.0
1721053128.0312288,450,4.0
1721053141.6251187,460,9.0
1721053169.7326164,480,0.0
1721053201.045614,500,0.0
1721053215.418343,510,1.0
1721053259.344247,540,0.0
1721053273.5356524,550,0.0
1721053287.2154286,560,0.0
1721053302.8069215,570,0.0
1721053317.486354,580,0.0
1721053363.8274832,610,0.0
1721053378.7615027,620,9.0
1721053407.894339,640,0.0
1721053438.1803195,660,0.0
1721053452.219474,670,0.0
1721053467.1051638,680,12.0
1721053483.9330475,690,14.0
1721053498.395545,700,0.0
1721053526.665249,720,0.0
1721053542.1503563,730,7.0
1721053556.203765,740,0.0
1721053570.7562633,750,0.0
1721053600.9891837,770,0.0
1721053628.6035142,790,0.0
1721053642.5351825,800,0.0
1721053673.137541,820,0.0
1721053718.5078282,850,5.0
1721053733.7743273,860,4.0
1721053748.9974492,870,0.0
1721053764.2403526,880,0.0
1721053780.129026,890,8.0
1721053795.727729,900,4.0
1721053825.8452191,920,0.0
1721053870.5566697,950,1.0
1721053945.3111787,1000,1.0
1721053990.8994317,1030,0.0
1721054022.1525688,1050,1.0
1721054036.5693064,1060,3.0
1721054051.759007,1070,0.0
1721054162.004881,1140,0.0
1721054210.758274,1170,5.0
1721054246.8902438,1190,0.0
1721054264.9310544,1200,0.0
1721054283.853388,1210,0.0
1721054357.3017037,1250,4.0
1721054374.1628952,1260,3.0
1721054391.6859698,1270,2.0
1721054446.1730428,1300,0.0
1721054462.343532,1310,2.0
1721054513.943642,1340,12.0
1721054580.0990574,1380,0.0
1721054612.7828937,1400,0.0
1721054647.1298723,1420,0.0
1721054664.1968026,1430,0.0
1721054680.9754148,1440,0.0
1721054699.2007344,1450,0.0
1721054716.6015253,1460,0.0
1721054733.371088,1470,0.0
1721054770.0892134,1490,0.0
1721054803.170736,1510,0.0
1721054856.099278,1540,0.0
1721054873.0042932,1550,0.0
1721054890.3458614,1560,0.0
1721054927.443728,1580,0.0
1721054943.666046,1590,0.0
1721054959.644313,1600,0.0
1721054994.3093965,1620,0.0
1721055011.2366478,1630,0.0
1721055048.6286042,1650,0.0
1721055066.4761662,1660,0.0
1721055101.0296564,1680,4.0
1721055121.010601,1690,0.0
1721055138.8235471,1700,0.0
1721055173.6231432,1720,0.0
