Wall time,Step,Value
1721052646.3481295,1,2.437255859375
1721052947.142716,5,2.363107681274414
1721053051.1219068,6,2.345546245574951
1721053129.5623474,7,2.308262348175049
1721053627.5524185,13,2.324627637863159
1721054182.5180757,20,2.317969560623169
1721054283.405577,21,2.316890239715576
1721054359.9083936,22,2.273473024368286
1721055464.0187082,36,2.306267261505127
1721055860.7063725,41,2.3053884506225586
1721055935.8194995,42,2.302223920822144
1721057203.4252715,60,2.3019020557403564
1721057283.3025668,61,2.2575619220733643
1721058223.384245,77,2.3978934288024902
1721058278.4285235,78,2.409740209579468
1721058331.162528,79,2.415929317474365
1721059781.517836,100,2.4129467010498047
1721059874.3893232,101,2.395341396331787
1721059948.7456443,102,2.396897077560425
1721060756.3260112,113,2.3632607460021973
1721060830.93342,114,2.290855407714844
1721060904.8659942,115,2.241905689239502
1721061009.9576013,116,2.0816550254821777
1721061087.787456,117,1.7259368896484375
1721061493.835278,122,1.9880826473236084
1721061567.750813,123,2.000298023223877
1721062236.4545093,132,1.0622234344482422
1721064251.8239622,164,1.4534614086151123
1721064310.9670644,165,1.4552252292633057
1721064620.4253423,170,1.7669479846954346
1721065453.5031295,183,1.352907419204712
1721065832.278746,189,0.974520206451416
1721066619.7212071,201,2.438342571258545
1721067086.6831822,209,2.3791375160217285
1721068434.2854078,232,2.4637045860290527
1721068485.393747,233,2.4577078819274902
1721068590.5291717,235,2.433988094329834
1721069603.3594754,253,2.394254207611084
1721070330.640373,266,2.3665590286254883
1721072641.192221,309,2.291224956512451
1721072690.351978,310,2.3426144123077397
1721074277.6136796,340,2.0232629776000977
1721074443.7816455,343,2.2618329524993896
1721075058.5916872,355,2.1752095222473145
1721075523.6143355,364,2.1287646293640137
1721075640.9421794,366,1.8390722274780276
1721076976.31959,393,1.3283557891845703
1721077259.8301528,399,0.6329900026321411
