Wall time,Step,Value
1721052527.4702196,40,6.0
1721052553.9962373,60,3.0
1721052565.9577606,70,0.0
1721052592.056182,90,0.0
1721052616.137002,110,6.0
1721052629.7794025,120,6.0
1721052644.1706176,130,0.0
1721052657.3178322,140,2.0
1721052671.411229,150,0.0
1721052685.053944,160,0.0
1721052700.124828,170,10.0
1721052713.9663458,180,10.0
1721052728.983352,190,1.0
1721052743.7593083,200,13.0
1721052760.2165818,210,3.0
1721052790.0400426,230,1.0
1721052821.6770897,250,0.0
1721052837.4285784,260,5.0
1721052915.0319846,310,0.0
1721052930.1456628,320,6.0
1721052946.9154854,330,2.0
1721052962.8461826,340,1.0
1721052978.2564857,350,0.0
1721053009.934706,370,0.0
1721053054.4253566,400,0.0
1721053069.7718213,410,0.0
1721053097.683174,430,9.0
1721053112.5366242,440,5.0
1721053128.036827,450,7.0
1721053141.6295912,460,13.0
1721053169.7374415,480,17.0
1721053201.051498,500,8.0
1721053215.4233918,510,0.0
1721053259.348825,540,16.0
1721053273.541424,550,0.0
1721053287.2212646,560,0.0
1721053302.8128605,570,1.0
1721053317.4916582,580,2.0
1721053363.83215,610,5.0
1721053378.7674785,620,0.0
1721053407.899039,640,0.0
1721053438.186118,660,0.0
1721053452.2255423,670,0.0
1721053467.1102529,680,0.0
1721053483.93851,690,6.0
1721053498.401509,700,4.0
1721053526.672995,720,13.0
1721053542.1562855,730,14.0
1721053556.2090323,740,6.0
1721053570.7609248,750,10.0
1721053600.996163,770,0.0
1721053628.609347,790,2.0
1721053642.5400877,800,0.0
1721053673.1434288,820,0.0
1721053718.5140705,850,0.0
1721053733.7794793,860,2.0
1721053749.001964,870,3.0
1721053764.2463143,880,2.0
1721053780.1348338,890,5.0
1721053795.732359,900,2.0
1721053825.8503594,920,12.0
1721053870.5608532,950,12.0
1721053945.3156962,1000,3.0
1721053990.9070215,1030,0.0
1721054022.1579852,1050,3.0
1721054036.5750031,1060,0.0
1721054051.7644296,1070,0.0
1721054162.0090373,1140,0.0
1721054210.764034,1170,13.0
1721054246.8960671,1190,7.0
1721054264.9363368,1200,4.0
1721054283.858943,1210,1.0
1721054357.307301,1250,14.0
1721054374.1671574,1260,9.0
1721054391.6910462,1270,11.0
1721054446.1789432,1300,2.0
1721054462.3479595,1310,0.0
1721054513.950999,1340,0.0
1721054580.103924,1380,0.0
1721054612.7878382,1400,10.0
1721054647.1344128,1420,0.0
1721054664.2023332,1430,0.0
1721054680.978891,1440,0.0
1721054699.2043166,1450,0.0
1721054716.6072087,1460,0.0
1721054733.376635,1470,3.0
1721054770.0957751,1490,3.0
1721054803.1762495,1510,0.0
1721054856.1031954,1540,3.0
1721054873.01026,1550,0.0
1721054890.3510954,1560,0.0
1721054927.449262,1580,3.0
1721054943.6687877,1590,7.0
1721054959.6487973,1600,3.0
1721054994.3131783,1620,3.0
1721055011.2428615,1630,0.0
1721055048.6360872,1650,11.0
1721055066.4864388,1660,3.0
1721055101.0354636,1680,4.0
1721055121.0199938,1690,12.0
1721055138.829118,1700,8.0
1721055173.629319,1720,0.0
1721055242.679696,1760,0.0
1721055261.4192462,1770,0.0
1721055278.4905038,1780,0.0
1721055295.9922285,1790,7.0
1721055334.1404114,1810,10.0
1721055353.715546,1820,5.0
1721055388.830572,1840,1.0
1721055424.4152677,1860,5.0
1721055441.4183805,1870,8.0
1721055459.1437013,1880,3.0
1721055477.9523969,1890,5.0
1721055512.965542,1910,2.0
1721055530.3715734,1920,0.0
1721055661.7884178,1990,0.0
1721055735.2502823,2030,7.0
1721055805.4877112,2070,0.0
1721055822.9423523,2080,5.0
1721055841.549072,2090,9.0
1721055913.9248536,2130,5.0
1721055931.4445374,2140,0.0
1721055948.6625688,2150,0.0
1721055964.940953,2160,0.0
1721056018.2807589,2190,0.0
1721056034.6436317,2200,10.0
1721056068.6691215,2220,6.0
1721056084.217249,2230,8.0
1721056100.215669,2240,11.0
1721056133.0703137,2260,2.0
1721056147.915911,2270,3.0
1721056162.5074463,2280,7.0
1721056194.1719742,2300,4.0
1721056209.8867311,2310,0.0
1721056226.183535,2320,3.0
1721056243.6844792,2330,9.0
1721056259.0378392,2340,9.0
1721056274.6140735,2350,1.0
1721056324.476327,2380,3.0
1721056341.5501363,2390,13.0
1721056375.526762,2410,7.0
1721056444.0909095,2450,1.0
1721056460.7486556,2460,3.0
1721056493.5522678,2480,1.0
1721056510.8659234,2490,3.0
1721056525.2684138,2500,0.0
1721056540.202703,2510,0.0
1721056555.747907,2520,14.0
1721056619.593307,2560,0.0
1721056675.408534,2590,3.0
1721056691.2656286,2600,3.0
1721056709.2110064,2610,3.0
1721056727.3168478,2620,9.0
1721056758.6239853,2640,6.0
1721056818.3264818,2680,6.0
1721056847.2277317,2700,9.0
1721056874.07301,2720,0.0
1721056888.1873436,2730,0.0
1721056900.9967327,2740,0.0
1721056914.001119,2750,0.0
1721056927.26847,2760,0.0
1721056955.43939,2780,4.0
1721056969.0253851,2790,4.0
1721056998.083548,2810,0.0
1721057025.667376,2830,5.0
1721057055.2390184,2850,1.0
1721057126.8936772,2900,0.0
1721057153.6179564,2920,7.0
1721057167.5746412,2930,4.0
1721057204.4647837,2960,6.0
1721057217.2496126,2970,4.0
1721057229.5521057,2980,5.0
